,Player,Team,GP,Wins,Losses,oiGF,GA,TeamGP,TeamW,TeamL,TeamGF,TeamGA,goalieExpectedWinGames,goalieExpectedWinPercentage,goalieActualWinPercentage,teamExpectedWinGames,teamExpectedWinPercentage,teamActualWinPercentage,goalieExpectedMinusActualPercentage,goalieExpectedMinusActualGames,goalieExpectedMinusTeamPercentage,teamExpectedMinusActualPercentage,teamExpectedMinusActualGames
10,Carter Hutton,BUF,31,12,18,80,94,69,30,39,193,215,13.43883042031244,0.43351065871975614,0.3870967741935484,31.419028319049904,0.45534823650796963,0.43478260869565216,0.04641388452620776,1.4388304203124402,-0.02183757778821349,0.020565627812317466,1.4190283190499038
38,Calvin Petersen,LAK,8,5,3,26,21,70,29,41,177,209,4.701312022540923,0.5876640028176153,0.625,30.20561337462509,0.43150876249464415,0.4142857142857143,-0.03733599718238467,-0.2986879774590774,0.15615524032297118,0.017223048208929836,1.2056133746250914
37,Jonathan Quick,LAK,42,16,26,99,117,70,29,41,177,209,18.10850644189762,0.4311549152832767,0.38095238095238093,30.20561337462509,0.43150876249464415,0.4142857142857143,0.050202534330895776,2.108506441897621,-0.0003538472113674418,0.017223048208929836,1.2056133746250914
46,Gilles Senn,NJD,2,0,1,2,4,69,28,41,185,224,0.48100641109407416,0.24050320554703708,0.0,29.071229124271735,0.4213221612213295,0.4057971014492754,0.24050320554703708,0.48100641109407416,-0.1808189556742924,0.015525059772054095,1.071229124271735
47,Cory Schneider,NJD,13,3,8,30,40,69,28,41,185,224,4.977688302845753,0.38289910021890405,0.23076923076923078,29.071229124271735,0.4213221612213295,0.4057971014492754,0.15212986944967327,1.9776883028457526,-0.03842306100242543,0.015525059772054095,1.071229124271735
48,Mackenzie Blackwood,NJD,47,22,22,118,124,69,28,41,185,224,22.533746640306394,0.47944141787885947,0.46808510638297873,29.071229124271735,0.4213221612213295,0.4057971014492754,0.011356311495880733,0.5337466403063935,0.05811925665752998,0.015525059772054095,1.071229124271735
70,Kasimir Kaskisuo,TOR,1,0,1,1,6,70,36,34,237,222,0.04868348314513079,0.04868348314513079,0.0,36.8963520046648,0.5270907429237829,0.5142857142857142,0.04868348314513079,0.04868348314513079,-0.4784072597786521,0.01280502863806865,0.8963520046647986
71,Frederik Andersen,TOR,52,29,20,168,143,70,36,34,237,222,29.45429333010375,0.5664287178866105,0.5576923076923077,36.8963520046648,0.5270907429237829,0.5142857142857142,0.008736410194302824,0.4542933301037486,0.03933797496282765,0.01280502863806865,0.8963520046647986
1,Ryan Miller,ANA,23,9,10,57,64,71,29,42,182,225,10.398447164880409,0.4521063984730612,0.391304347826087,29.318117784645537,0.41293123640345825,0.4084507042253521,0.06080205064697425,1.3984471648804089,0.039175162069602976,0.0044805321781061225,0.31811778464553697
2,John Gibson,ANA,51,20,31,116,149,71,29,42,182,225,20.27927929231463,0.3976329273002869,0.39215686274509803,29.318117784645537,0.41293123640345825,0.4084507042253521,0.005476064555188842,0.2792792923146301,-0.01529830910317137,0.0044805321781061225,0.31811778464553697
0,Anthony Stolarz,ANA,1,0,1,1,2,71,29,42,182,225,0.24050320554703705,0.24050320554703705,0.0,29.318117784645537,0.41293123640345825,0.4084507042253521,0.24050320554703705,0.24050320554703705,-0.1724280308564212,0.0044805321781061225,0.31811778464553697
76,Connor Hellebuyck,WPG,58,31,26,160,140,71,37,34,213,201,32.19906874803612,0.5551563577247607,0.5344827586206896,37.20623701003941,0.5240315071836537,0.5211267605633803,0.020673599104071072,1.1990687480361188,0.03112485054110703,0.002904746620273402,0.20623701003940909
77,Laurent Brossoit,WPG,19,6,8,49,54,71,37,34,213,201,8.735984613408593,0.4597886638636102,0.3157894736842105,37.20623701003941,0.5240315071836537,0.5211267605633803,0.14399919017939972,2.7359846134085934,-0.06424284332004343,0.002904746620273402,0.20623701003940909
34,Sam Montembeault,FLA,14,5,6,32,39,69,35,34,228,224,5.861533593698027,0.41868097097843054,0.35714285714285715,35.006481942634906,0.5073403180092015,0.5072463768115942,0.061538113835573394,0.8615335936980273,-0.088659347030771,9.394119760730568e-05,0.0064819426349060905
35,Chris Driedger,FLA,12,7,3,33,22,69,35,34,228,224,7.94518668461332,0.6620988903844434,0.5833333333333334,35.006481942634906,0.5073403180092015,0.5072463768115942,0.07876555705110999,0.9451866846133203,0.15475857237524182,9.394119760730568e-05,0.0064819426349060905
36,Sergei Bobrovsky,FLA,50,23,25,151,151,69,35,34,228,224,25.0,0.5,0.46,35.006481942634906,0.5073403180092015,0.5072463768115942,0.03999999999999998,2.0,-0.007340318009201541,9.394119760730568e-05,0.0064819426349060905
72,Jacob Markstrom,VAN,43,23,20,129,117,69,36,33,224,214,23.23749866156626,0.54040694561782,0.5348837209302325,35.80633918866187,0.5189324520095924,0.5217391304347826,0.00552322468758748,0.23749866156625998,0.02147449360822762,-0.0028066784251902233,-0.19366081133812685
73,Thatcher Demko,VAN,27,13,12,83,78,69,36,33,224,214,14.19514671703344,0.5257461747049422,0.48148148148148145,35.80633918866187,0.5189324520095924,0.5217391304347826,0.04426469322346077,1.19514671703344,0.006813722695349855,-0.0028066784251902233,-0.19366081133812685
7,Jaroslav Halak,BOS,31,18,12,95,73,70,44,26,227,167,18.83390947646677,0.607545466982799,0.5806451612903226,43.72392465533498,0.6246274950762141,0.6285714285714286,0.026900305692476367,0.8339094764667685,-0.01708202809341508,-0.003943933495214491,-0.27607534466501704
6,Tuukka Rask,BOS,41,26,14,127,85,70,44,26,227,167,27.08619820236609,0.6606389805455144,0.6341463414634146,43.72392465533498,0.6246274950762141,0.6285714285714286,0.026492639082099756,1.0861982023660914,0.03601148546930033,-0.003943933495214491,-0.27607534466501704
53,Igor Shesterkin,NYR,12,10,2,48,29,70,37,33,233,220,8.37139566633032,0.6976163055275267,0.8333333333333334,36.66551100358183,0.5237930143368832,0.5285714285714286,-0.13571702780580663,-1.6286043336696796,0.17382329119064355,-0.004778414234545392,-0.3344889964181732
54,Henrik Lundqvist,NYR,30,10,15,82,84,70,37,33,233,220,14.700208354257855,0.4900069451419285,0.3333333333333333,36.66551100358183,0.5237930143368832,0.5285714285714286,0.15667361180859518,4.700208354257855,-0.03378606919495469,-0.004778414234545392,-0.3344889964181732
55,Alexandar Georgiev,NYR,34,17,16,95,96,70,37,33,233,220,16.852343768279685,0.49565716965528483,0.5,36.66551100358183,0.5237930143368832,0.5285714285714286,-0.004342830344715165,-0.1476562317203154,-0.028135844681598354,-0.004778414234545392,-0.3344889964181732
40,Kaapo Kahkonen,MIN,5,3,2,18,15,69,35,34,218,217,2.875230146534072,0.5750460293068145,0.6,34.63157448459188,0.5019068765882881,0.5072463768115942,-0.0249539706931855,-0.12476985346592784,0.07313915271852633,-0.005339500223306093,-0.36842551540811996
41,Devan Dubnyk,MIN,30,12,17,81,93,69,35,34,218,217,13.288562076889999,0.4429520692296666,0.4,34.63157448459188,0.5019068765882881,0.5072463768115942,0.0429520692296666,1.288562076889999,-0.05895480735862152,-0.005339500223306093,-0.36842551540811996
39,Alex Stalock,MIN,38,20,15,118,97,69,35,34,218,217,22.06169836036797,0.5805710094833676,0.5263157894736842,34.63157448459188,0.5019068765882881,0.5072463768115942,0.054255220009683414,2.06169836036797,0.07866413289507945,-0.005339500223306093,-0.36842551540811996
65,Aaron Dell,SJS,33,12,18,72,92,70,29,41,180,225,13.190575945208124,0.39971442258206435,0.36363636363636365,28.594616907083036,0.4084945272440434,0.4142857142857143,0.03607805894570071,1.1905759452081242,-0.008780104661979038,-0.00579118704167092,-0.4053830929169635
64,Martin Jones,SJS,41,17,23,99,118,70,29,41,180,225,17.535514378092213,0.42769547263639546,0.4146341463414634,28.594616907083036,0.4084945272440434,0.4142857142857143,0.013061326294932063,0.5355143780922127,0.019200945392352065,-0.00579118704167092,-0.4053830929169635
33,Mikko Koskinen,EDM,38,18,16,101,97,71,37,34,223,215,19.636631415133312,0.5167534582929819,0.47368421052631576,36.57548112376189,0.5151476214614351,0.5211267605633803,0.04306924776666615,1.6366314151333121,0.001605836831546803,-0.005979139101945141,-0.42451887623811047
32,Mike Smith,EDM,39,19,18,116,106,71,37,34,223,215,20.95549372935917,0.5373203520348505,0.48717948717948717,36.57548112376189,0.5151476214614351,0.5211267605633803,0.05014086485536334,1.9554937293591692,0.0221727305734154,-0.005979139101945141,-0.42451887623811047
11,James Reimer,CAR,25,14,8,69,61,68,38,30,217,193,13.773327063483624,0.5509330825393449,0.56,37.2951934788757,0.5484587276305251,0.5588235294117647,-0.009066917460655133,-0.2266729365163762,0.0024743549088198646,-0.010364801781239663,-0.7048065211242971
14,Anton Forsberg,CAR,3,1,1,5,8,68,38,30,217,193,0.9431340693884953,0.3143780231294984,0.3333333333333333,37.2951934788757,0.5484587276305251,0.5588235294117647,-0.018955310203834896,-0.05686593061150469,-0.23408070450102664,-0.010364801781239663,-0.7048065211242971
15,David Ayres,CAR,1,1,0,2,2,68,38,30,217,193,0.5,0.5,1.0,37.2951934788757,0.5484587276305251,0.5588235294117647,-0.5,-0.5,-0.048458727630525056,-0.010364801781239663,-0.7048065211242971
12,Alex Nedeljkovic,CAR,4,1,3,10,11,68,38,30,217,193,1.8422101897442038,0.46055254743605095,0.25,37.2951934788757,0.5484587276305251,0.5588235294117647,0.21055254743605095,0.8422101897442038,-0.0879061801944741,-0.010364801781239663,-0.7048065211242971
13,Petr Mrazek,CAR,40,21,18,130,104,68,38,30,217,193,23.660218910238267,0.5915054727559567,0.525,37.2951934788757,0.5484587276305251,0.5588235294117647,0.06650547275595664,2.6602189102382674,0.04304674512543161,-0.010364801781239663,-0.7048065211242971
49,Juuse Saros,NSH,40,17,16,94,98,69,35,34,212,214,19.308930300418186,0.48272325751045464,0.425,34.23129417545287,0.4961057126877227,0.5072463768115942,0.05772325751045465,2.3089303004181865,-0.013382455177268049,-0.011140664123871546,-0.7687058245471334
50,Pekka Rinne,NSH,36,18,18,115,105,69,35,34,212,214,19.355717285830483,0.5376588134952912,0.5,34.23129417545287,0.4961057126877227,0.5072463768115942,0.03765881349529121,1.3557172858304831,0.04155310080756852,-0.011140664123871546,-0.7687058245471334
